Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Bitget Wallet,https://www.crunchbase.com/organization/bitkeep,"Bitcoin, Cryptocurrency, Finance, FinTech","Grand Cayman, Midland, Cayman Islands",Bitget Wallet is a decentralized multi-chain digital wallet that provides safe and convenient digital asset management services to users.,"2,295",2023-03-22,day,,https://web3.bitget.com/en,https://twitter.com/BitKeepOS,https://www.linkedin.com/company/bitkeep,"Bitget, Arcanum Capital, Matrixport, DHVC, Foresight Ventures"
HTX,https://www.crunchbase.com/organization/huobi,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Beijing, Beijing, China","HTX is a blockchain asset financial services provider, including exchange, trade, wallet, and storage.","2,299",2022-10-07,day,,https://www.huobi.com,,https://www.linkedin.com/company/htxglobalofficial,"ZhenFund, Node Capital, Karnika Yashwant"
Cipher Mining,https://www.crunchbase.com/organization/cipher-mining,"Bitcoin, Blockchain, Cryptocurrency","Rye, New York, United States",Cipher Mining is an industrial-scale Bitcoin mining company dedicated to expanding and strengthening the Bitcoin network's infrastructure.,"2,623",,,2021-08-30,https://www.ciphermining.com,https://twitter.com/cipherinc,https://www.linkedin.com/company/cipher-mining,"Fidelity, SoftBank, Bitfury Group, Counterpoint Global"
Exodus,https://www.crunchbase.com/organization/exodus-052e,"Apps, Bitcoin, Blockchain, Finance, FinTech, Software, Virtual Currency","Omaha, Nebraska, United States","Exodus is a financial technology platform that offers blockchain assets, digital currency, cryptocurrency, and associated funds.","2,757",,,2024-01-30,https://www.exodus.com/,https://twitter.com/exodus_io/,https://www.linkedin.com/company/exodus-io/,"Google, Alameda Research"
Banxa,https://www.crunchbase.com/organization/banxa,"Compliance, Cryptocurrency, Financial Services, FinTech, Software","Melbourne, Victoria, Australia",Banxa is the world's first listed RegTech and Payment Service Provider (PSP) for the digital asset industry,"2,762",,,2021-01-06,https://banxa.com/,https://twitter.com/BanxaOfficial,https://www.linkedin.com/company/banxa-com/about/,"KuCoin, NGC Ventures, OK Group, Huobi Capital, Thorney Investment"
Fold,https://www.crunchbase.com/organization/card-for-coin,"Apps, Bitcoin, Gift Card, Internet, Mobile Payments","Atlanta, Georgia, United States","Fold is a financial services company specializing in Bitcoin, offering products that provide access to Bitcoin investment opportunities.","3,392",,,2025-02-14,https://foldapp.com,https://twitter.com/fold_app,https://www.linkedin.com/company/card-for-coin,"Craft Ventures, Bessemer Venture Partners, Slow Ventures, Bossa Invest, Goldcrest Capital"
Digital Asset,https://www.crunchbase.com/organization/digital-asset-2,"Blockchain, Cryptocurrency, Developer Platform, Developer Tools, Finance, Financial Services, FinTech, Software","New York, New York, United States","Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.","4,221",2021-06-01,day,,http://www.digitalasset.com,https://twitter.com/digitalassetcom,https://www.linkedin.com/company/digital-asset-holdings-llc/,"Citi, Goldman Sachs, IBM, Salesforce Ventures, Eldridge Industries"
RTFKT,https://www.crunchbase.com/organization/rtfkt,"Cryptocurrency, Fashion, Shoes","South Jordan, Utah, United States",RTFKT is a developer of custom sneakers designed for video game enthusiasts.,"4,738",2021-12-13,day,,https://rtfkt.com/,https://twitter.com/RTFKTstudios,https://www.linkedin.com/company/rtfkt/,"Andreessen Horowitz, Long Journey Ventures, Shrug Capital, GFR Fund, Galaxy Interactive"
IREN,https://www.crunchbase.com/organization/iris-energy-fc5a,"Bitcoin, Cryptocurrency, Data Center, Data Storage, Hydroelectric","Sydney, New South Wales, Australia",IREN is a data center that provides Bitcoin mining and GPUs services using renewable energy.,"4,866",,,2021-11-17,https://irisenergy.co/,https://x.com/IREN_Ltd,https://www.linkedin.com/company/iren/,"NYDIG, Employee Stock Option Fund, Hive Empire Capital"
Marqeta,https://www.crunchbase.com/organization/marqeta,"Credit Cards, Cryptocurrency, Debit Cards, FinTech, Payments","Oakland, California, United States",Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,"5,323",,,2021-06-09,https://www.marqeta.com,https://www.twitter.com/marqeta,https://www.linkedin.com/company/marqeta,"Vitruvian Partners, Coatue, ICONIQ Growth, Spark Capital, Goldman Sachs"
Core Scientific,https://www.crunchbase.com/organization/core-scientific,"Artificial Intelligence (AI), Blockchain, Software","Austin, Texas, United States",Core Scientific operates blockchain data centers and manufactures digital currency mining servers.,"5,865",,,2021-04-09,https://corescientific.com,https://twitter.com/Core_Scientific,https://www.linkedin.com/company/corescientific,"B. Riley Financial, Bitmain, Celsius Network, Obsidian Investment Partners"
Blockfolio,https://www.crunchbase.com/organization/blockfolio,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Apps, Virtual Currency","Santa Monica, California, United States",Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry.,"6,327",2020-08-25,day,,http://www.blockfolio.com/,https://www.twitter.com/blockfolio,https://www.linkedin.com/company/blockfolio,"Mayfield Fund, Founders Fund, Playground Global, Abstract, Pantera Capital"
Slingshot Finance,https://www.crunchbase.com/organization/slingshot-finance,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Software","San Francisco, California, United States",Slingshot is a web3 company developing and using decentralized technologies to help users interact with digital assets,"6,721",2025-04-09,day,,https://slingshot.app/,https://twitter.com/SlingshotCrypto,https://www.linkedin.com/company/slingshot-finance,"Robot Ventures, Coinbase Ventures, K5 Global, Framework Ventures, Ribbit Capital"
Bitstamp,https://www.crunchbase.com/organization/bitstamp,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","London, England, United Kingdom",Bitstamp is a crypto exchange platform that specializes in buying and selling cryptocurrencies.,"7,215",2024-06-06,day,,http://www.bitstamp.net,http://twitter.com/Bitstamp,http://www.linkedin.com/company/bitstamp,"Ripple, Pantera Capital, Gabriel Jarrosson"
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,"Blogging Platforms, Social Media, Social Network, Web3","Bastrop, Texas, United States",X is a social networking platform that allows its users to send and read microblogs.,"7,583",2025-03-28,day,2013-11-07,https://x.com,https://x.com/X,https://www.linkedin.com/company/x-corp,"Andreessen Horowitz, Insight Partners, Sequoia Capital, Union Square Ventures, IVP"
Heap,https://www.crunchbase.com/organization/heap,"Analytics, Business Intelligence, Enterprise Software, Productivity Tools, Smart Contracts, Software","San Francisco, California, United States",Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,"7,711",2023-09-28,day,,https://heap.io,http://twitter.com/heap,https://www.linkedin.com/company/heap-inc-,"Y Combinator, Menlo Ventures, Pear VC, New Enterprise Associates, DTCP"
Galaxy Digital,https://www.crunchbase.com/organization/galaxy-digital-lp,"Asset Management, Banking, Cryptocurrency, Financial Services, FinTech","New York, New York, United States",Galaxy Digital is a technology-driven investment firm that provides financial solutions spanning the digital assets ecosystem.,"8,191",,,2018-08-01,https://www.galaxy.com,https://twitter.com/galaxydigitalhq,https://www.linkedin.com/company/galaxyhq,"Arca, Senator Investment Group, XN, Mike Novogratz, HCM Capital"
WisdomTree,https://www.crunchbase.com/organization/wisdomtree,"Angel Investment, Asset Management, Blockchain, Finance, FinTech","New York, New York, United States","WisdomTree is a global financial innovator that offers a diverse selection of exchange-traded products (ETPs), models, and solutions.","8,397",,,1994-11-18,http://www.wisdomtree.com,http://twitter.com/wisdomtreeetfs,http://www.linkedin.com/company/wisdomtree-asset-management,RRE Ventures
Coins.ph,https://www.crunchbase.com/organization/coins-ph,"Bitcoin, Blockchain, Financial Services, FinTech, Mobile Payments","Pasig, Rizal, Philippines",Coins.ph is a crypto asset management that provides buy and sell a variety of different cryptocurrencies and various financial services.,"8,906",2019-01-18,day,,https://coins.ph,https://x.com/coinsph,http://www.linkedin.com/company/coins-ph,"Quona Capital, Global Brain Corporation, Ribbit Capital, Pantera Capital, Innovation Endeavors"
Block,https://www.crunchbase.com/organization/square,"Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology","San Francisco, California, United States","Block, Inc. (NYSE: SQ) (formerly Square, Inc.) is a technology company with a focus on financial services.","9,697",,,2015-11-19,https://block.xyz,https://twitter.com/blocks,https://www.linkedin.com/company/joinblock,"Sequoia Capital, Khosla Ventures, First Round Capital, Sapphire Ventures, Goldman Sachs"
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,"Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games","Cyberport, Hong Kong Island, Hong Kong",Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,"9,823",,,2015-01-23,https://www.animocabrands.com,https://x.com/animocabrands,https://www.linkedin.com/company/animoca-brands,"Accel, Temasek Holdings, HSG, 500 Global, Coinbase Ventures"
Mountain Protocol,https://www.crunchbase.com/organization/mountain-protocol,"Blockchain, Cryptocurrency, Financial Services, Information Technology, Software","Pembroke, Massachusetts, United States","We believe that everyone deserves access to the ""risk-free rate"" through a secure, regulated, and enterprise-grade product.","9,946",2025-05-12,day,,https://mountainprotocol.com,https://twitter.com/MountainUSDM,https://www.linkedin.com/company/mountain-protocol,"Coinbase Ventures, Blockchain Founders Fund, Castle Island Ventures, Wormhole, Multicoin Capital"
Harbor,https://www.crunchbase.com/organization/harbor-platform,"Blockchain, Compliance, Computer, Cryptocurrency, Finance, Financial Services, Security","San Francisco, California, United States",Harbor is helping to power the next big wave in capital markets – tokenized securities - by automating regulatory compliance.,"10,007",2020-02-18,day,,https://harbor.com,https://twitter.com/harbor,https://www.linkedin.com/company/harbor-hq,"Andreessen Horowitz, Craft Ventures, South Park Commons, Founders Fund, Valor Equity Partners"
Tagomi,https://www.crunchbase.com/organization/tagomi-systems,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Chicago, Illinois, United States","Tagomi is a cryptocurrency trading platform that provides access to priced liquidity, low commissions, and maximized client return.","10,359",2020-05-27,day,,https://tagomi.com/,,https://www.linkedin.com/company/tagomi,"Founders Fund, Paradigm, Quiet Capital, Fabric Ventures, Abstract"
Nametag,https://www.crunchbase.com/organization/nametag-5c3b,"Browser Extensions, Collectibles, Cryptocurrency, Internet, Non-Fungible Token (NFT)","San Francisco, California, United States","Nametag is a digital collector lens to search the internet for collectors, view their NFTs and Nokens, and badges.","10,757",2024-09-20,day,,http://www.nametag.org,https://twitter.com/nametagtweets?s=21,https://www.linkedin.com/company/nametagnft,"Coinbase Ventures, GSR Ventures, Galxe, OKX Ventures, Mask Network"
Headquarters,https://www.crunchbase.com/organization/headquarters-fdb9,"Accounting, Blockchain, Enterprise Software, Financial Services, Payments, Web3","Singapore, Central Region, Singapore",Headquarters helps Web3 companies automate their treasury ops and reporting.,"10,807",2025-05-13,day,,https://www.hq.xyz,https://twitter.com/HQ_xyz,https://www.linkedin.com/company/hq-xyz,"500 Global, FJ Labs, Saison Capital, DWF Labs, LongHash Ventures"
Wind.app,https://www.crunchbase.com/organization/wind-app,"FinTech, Web3","Singapore, Central Region, Singapore",Wind.app is platform for global payments.,"12,499",2025-04-21,day,,https://wind.app/,https://twitter.com/WindWallet,https://www.linkedin.com/company/windapp/,"Alumni Ventures, Saison Capital, Global Founders Capital, The Spartan Group, Tiny VC"
Safello,https://www.crunchbase.com/organization/safello,"Bitcoin, Finance, FinTech","Stockholm, Stockholms Lan, Sweden",Safello operates a bitcoin exchange and related services in the European market.,"12,900",,,2021-05-12,https://safello.com,http://twitter.com/SafelloAB,http://www.linkedin.com/company/safello,"Techstars, Digital Currency Group, White Star Capital, Nicolas Cary, Erik Voorhees"
HAL,https://www.crunchbase.com/organization/hal-64ab,"Blockchain, Ethereum, Information Technology, Software","London, England, United Kingdom",HAL provides blockchain monitoring services intended to create centralized lighthouses.,"12,918",2023-02-21,day,,https://www.hal.xyz,https://twitter.com/HAL_team,https://www.linkedin.com/company/halxyz,"Animoca Brands, CoinFund, imToken, HashKey Capital, Wintermute Ventures"
Helio,https://www.crunchbase.com/organization/helio-d856,"Blockchain, FinTech, Payments, Web3","London, England, United Kingdom",Helio powers merchant payments for the Web3 economy,"12,992",2024-12-25,day,,https://www.helio.co,https://twitter.com/helio_pay,https://www.linkedin.com/company/heliofi,"Solana, Faction, Peak, RockawayX, David Szekely"
The Block,https://www.crunchbase.com/organization/the-block-crypto,"Bitcoin, Blockchain, Cryptocurrency, Digital Media, Information Services, Market Research, News","New York, New York, United States",The Block is the first and final word in digital assets.,"13,006",2023-11-13,day,,https://www.theblock.co,https://twitter.com/TheBlock__,https://www.linkedin.com/company/theblockcrypto/,"Everywhere Ventures, Greycroft, Floodgate, Pantera Capital, Bloomberg Beta"
Candy Digital,https://www.crunchbase.com/organization/candy-digital-d2d1,"Blockchain, Collectibles, Non-Fungible Token (NFT), Sports, Web3","New York, New York, United States",Candy Digital is an NFT company that allows MLB fans to buy and trade officially licensed nonfungible tokens.,"13,751",2025-04-16,day,,https://www.candy.io,https://twitter.com/candydigital,https://www.linkedin.com/company/candydigital,"Insight Partners, Gaingels, New Enterprise Associates, ConsenSys, SoftBank Vision Fund"
BIT Mining,https://www.crunchbase.com/organization/BTCM,"Bitcoin, Cryptocurrency, Enterprise Software, Ethereum, Gambling","Hong Kong, Hong Kong Island, Hong Kong",BIT Mining is a cryptocurrency mining enterprise that acquires cryptocurrency mining machines to mine for both Bitcoin and Ethereum.,"13,896",,,2021-04-20,https://www.btcm.group/,https://x.com/BITMining_BTCM,https://www.linkedin.com/company/%E6%AF%94%E7%89%B9%E7%9F%BF%E4%B8%9A/,"HSG, IDG Capital, Esport-Win"
The INX Digital Company,https://www.crunchbase.com/organization/inx-limited,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Gibraltar, Gibraltar, Gibraltar",INX owns regulated trading platforms for digital securities and cryptocurrencies.,"13,943",,,2022-08-02,https://www.inx.co/,https://twitter.com/INX_Group,https://www.linkedin.com/company/inxlimited/,"Republic, Launch Code Capital, SPiCE VC"
Globacap,https://www.crunchbase.com/organization/globacap,"Blockchain, Financial Services, FinTech, Software","London, England, United Kingdom","We enable freedom through automation. We’re driving the evolution of capital markets by making processes frictionless, on a global scale.","14,270",2025-03-31,day,,http://www.globacap.com,https://twitter.com/globacap,https://www.linkedin.com/company/globacap,"Cboe Global Markets, CoinShares, Moore Strategic Ventures, Johannesburg Stock Exchange, GABI Ventures"
Mirror,https://www.crunchbase.com/organization/mirror-c5ca,Blockchain,"San Francisco, California, United States","Mirror is a publication platform for creators, communities, and DAOs.","14,997",2024-05-02,day,,https://mirror.xyz,https://twitter.com/viamirror,https://www.linkedin.com/company/mirror-xyz,"SV Angel, Musha Ventures"
Korbit,https://www.crunchbase.com/organization/korbit,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea","Korbit provides online bitcoin exchange, wallet, and merchant processor services.","15,128",2017-09-28,day,,http://korbit.co.kr,https://twitter.com/KorbitOfficial,https://www.linkedin.com/company/korbit-inc/,"Draper Associates, Pantera Capital, BAM Ventures, Strong Ventures, Korea Investment Partners"
LedgerX,https://www.crunchbase.com/organization/ledgerx,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Virtual Currency","New York, New York, United States",LedgerX develops an institutional derivatives exchange platform for digital currencies.,"15,690",2023-04-25,day,,https://ledgerx.com,https://twitter.com/ledgerx,https://www.linkedin.com/company/ledgerx/,"Lightspeed Venture Partners, Blockchain Capital, SV Angel, MIAX Exchange Group, FundersClub"
Fyn,https://www.crunchbase.com/organization/beartax-inc,"Bitcoin, Blockchain, Consumer Software, Enterprise Software, Ethereum, Financial Services, FinTech, Information Technology, SaaS, Virtual Currency","Delaware City, Delaware, United States",Fyn helps enterprise and institutional investors manage their digital asset taxation.,"15,769",2023-08-04,day,,https://fynhq.com,https://twitter.com/hellofynhq,https://linkedin.com/company/hellofynhq,"Hustle Fund, Ascend, Defy.vc, BAM Ventures, Liquid 2 Ventures"
Drip Labs,https://www.crunchbase.com/organization/drip-71be,"Blockchain, Information Technology, Internet, Service Industry","San Francisco, California, United States",Drip Labs creates creator-centric Web3 content distribution network and offers free digital gifts from well-known producers.,"16,014",2025-04-02,day,,https://drip.haus,https://twitter.com/drip_haus,https://www.linkedin.com/company/driphaus,"Coinbase Ventures, Progression, NFX, 6th Man Ventures, Big Brain Holdings"
Tactic,https://www.crunchbase.com/organization/tactic-d1d8,"Cryptocurrency, FinTech, Software","New York, New York, United States",Tactic is the crypto accounting platform that's built to save businesses time.,"16,233",2023-01-17,day,,https://www.tactic.com/,https://twitter.com/choose_tactic,https://www.linkedin.com/company/choose-tactic/,"Founders Fund, Lux Capital, Coinbase Ventures, Ramp, Pathlight Ventures"
double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,"Blockchain, Cryptocurrency, Video Games","Nishi, Tokyo, Japan",double jump.tokyo Is a blockchain game developer and NFT solution provider for large-scale enterprises in the gaming & entertainment sector.,"16,583",2018-05-07,day,,https://www.doublejump.tokyo/,https://x.com/doublejump_en,https://www.linkedin.com/company/doublejump-tokyo/,"Polygon, Amber Group, SBI Investment, Z Venture Capital, Protocol Labs"
Alterya,https://www.crunchbase.com/organization/alterya,"Apps, Cryptocurrency, Software, Web3","Tel Aviv, Tel Aviv, Israel","Alterya is a Software Development firm offering Simple, safe, and compliant access to web3.","17,956",2025-01-13,day,,https://www.alterya.dev/,,https://www.linkedin.com/company/83538897/,"Y Combinator, Tribe Capital, Nyca Partners, FJ Labs, Liquid 2 Ventures"
CryptoSlam,https://www.crunchbase.com/organization/cryptoslam,"Blockchain, Ethereum, Financial Services, Non-Fungible Token (NFT)","Overland Park, Kansas, United States",CryptoSlam is an aggregator of non-fungible tokens (NFTs) collectibles data.,"18,221",2023-01-17,day,,https://www.cryptoslam.io,https://twitter.com/cryptoslamio,https://www.linkedin.com/company/cryptoslam,"KCRise Fund, Stocktwits, SPIRIT Blockchain Capital, Animoca Brands, Redbeard Ventures"
Securrency,https://www.crunchbase.com/organization/securrency,"Blockchain, Financial Services, FinTech, Trading Platform","Washington, District of Columbia, United States",Securrency delivers financial technology products for the tokenized issuance and trading of securities.,"18,233",2023-10-19,day,,https://securrency.com,https://twitter.com/Securrency,https://www.linkedin.com/company/securrency,"Alumni Ventures, State Street Corporation, WisdomTree, RRE Ventures, ARK FUND"
Greenidge Generation,https://www.crunchbase.com/organization/greenidge,"Bitcoin, Blockchain, Energy, Natural Resources","Dresden, New York, United States",Greenidge is a bitcoin mining and power generation company providing blockchain services for its on-site cryptocurrency mining operation.,"18,930",,,2021-09-23,https://greenidge.com/,https://twitter.com/GreenidgeLLC,https://www.linkedin.com/company/greenidge-generation-llc,"NYDIG, B. Riley Financial, Armistice Capital"
Wyre,https://www.crunchbase.com/organization/wyre,"Cryptocurrency, Financial Services, FinTech, Payments","San Francisco, California, United States",Wyre is a crypto and payment infrastructure company that develops a variety of payment APIs.,"19,621",2024-02-15,day,,https://www.sendwyre.com,https://www.twitter.com/sendwyre,https://www.linkedin.com/company/wyre,"Draper Associates, Kraken, Fortress Investment Group, Blockchain Capital, Stellar Development Foundation"
CipherTrace,https://www.crunchbase.com/organization/ciphertrace-inc,"Big Data, Bitcoin, Compliance, Cryptocurrency, Cyber Security","Menlo Park, California, United States",CipherTrace is a cryptocurrency intelligence company that delivers delivers cryptocurrency AML compliance solutions.,"20,070",2021-09-09,day,,https://ciphertrace.com/,https://twitter.com/ciphertrace,https://www.linkedin.com/company/ciphertrace/,"WestWave Capital, Aspect Ventures, Galaxy Digital, Neotribe Ventures, Third Point Ventures"
Spindl,https://www.crunchbase.com/organization/spindl,"Advertising, Blockchain, Software, Web3","San Francisco, California, United States",Spindl develops a blockchain-based attribution system to help businesses accelerate user growth.,"20,271",2025-01-31,day,,https://www.spindl.xyz,https://twitter.com/spindl_xyz,https://www.linkedin.com/company/spindlxyz,"Polygon, Tribe Capital, Dragonfly, FJ Labs, Multicoin Capital"
TradeBlock,https://www.crunchbase.com/organization/tradeblock,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Stamford, Connecticut, United States",TradeBlock is the world's leading provider of institutional trading tools for digital currencies.,"20,860",2021-01-05,day,,https://tradeblock.com/,http://twitter.com/TradeBlock,https://www.linkedin.com/company/tradeblock/,"Andreessen Horowitz, Y Combinator, Digital Currency Group, MassChallenge, DCVC"
Simplex,https://www.crunchbase.com/organization/simplex-3,"Bitcoin, Cryptocurrency, E-Commerce, Financial Services, FinTech, Fraud Detection, Payments","Giv'atayim, Tel Aviv, Israel",Simplex is an EMI licensed Fintech company providing fraudless payment processing solutions to online merchants,"21,108",2021-05-06,day,,http://www.simplex.com,https://twitter.com/SimplexCC,https://www.linkedin.com/company/simplexcc,"Korea Investment Partners, FundersClub, Accomplice, Bitmain, iAngels"
Coinfirm,https://www.crunchbase.com/organization/coinfirm,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech","London, England, United Kingdom",Coinfirm is a blockchain analytics and investigations solutions.,"21,273",2024-05-21,day,,http://www.coinfirm.com,https://twitter.com/coinfirm_io,https://www.linkedin.com/company/coinfirm,"Middlegame Ventures, SIX FinTech Ventures, Mission Gate, G1 Ventures, Alfabeat"
Crypto Finance Group,https://www.crunchbase.com/organization/crypto-finance-6df5,"Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","Zug, Zug, Switzerland","Crypto Finance provides regulated, transformative digital asset and blockchain technology services to institutional clients.","22,473",2021-06-29,day,,https://www.crypto-finance.com,https://twitter.com/CryptoFinanceAG,https://www.linkedin.com/company/cryptofinanceag/,"Lingfeng Capital, Daniel Gutenberg, QBN Capital, Adrian Locher, Marc P. Bernegger"
Beam,https://www.crunchbase.com/organization/beam-wallet,"B2B, B2C, Blockchain, Cryptocurrency, E-Commerce, Finance, Internet, Marketing, Payments, Retail","Lisbon, Lisboa, Portugal",Transforming payments and marketing for the 21st Century.,"23,867",2019-06-01,month,,https://www.beamwallet.com,https://twitter.com/beamwallet,https://www.linkedin.com/company/beam-wallet,"Sequoia Capital, Partech, Surge, Alex Cheiman"
Ziglu,https://www.crunchbase.com/organization/ziglu,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech","London, England, United Kingdom",Ziglu provides a digital platform that enables customers to exchange fiat currency for cryptocurrency.,"23,955",2022-04-19,day,,https://www.ziglu.io,https://twitter.com/ZigluMoney,https://www.linkedin.com/company/ziglu,"Eterna Capital, Angel Investment Network, AIV Capital"
Chain,https://www.crunchbase.com/organization/chain-e81f,"Blockchain, Finance, Financial Services","San Francisco, California, United States","Chain built cryptographic ledger systems to make financial services smarter, more secure, and more connected.","23,996",2018-09-01,month,,https://www.chain.com/,https://twitter.com/chain,,"BoxGroup, Khosla Ventures, Thrive Capital, Blockchain Capital, 500 Global"
MyCrypto,https://www.crunchbase.com/organization/mycrypto,"Blockchain, Cryptocurrency, Ethereum, Finance, Financial Services, Information Services, Information Technology, Software","Redondo Beach, California, United States","MyCrypto is an open-source, client-side tool for interacting with the blockchain. ","24,663",2022-02-01,day,,https://www.mycrypto.com,https://twitter.com/mycrypto,https://www.linkedin.com/company/mycrypto/,"Polychain, Boost VC, ShapeShift, Ausum Ventures, Lily Liu"
