Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn
Hut 8 Corp.,https://www.crunchbase.com/organization/hut-8,,"Blockchain, Cryptocurrency, Mining","Toronto, Ontario, Canada",Hut 8 Corp. is a cryptocurrency mining and blockchain infrastructure company focused on digital asset mining.,"52,587",2019-10-08,day,,,2019-10-08,https://hut8.com,,https://www.linkedin.com/company/hut8corp
Amino Payments,https://www.crunchbase.com/organization/amino-2,,"Blockchain, Financial Services, Payments","Philadelphia, Pennsylvania, United States","Amino is a payments company bringing transparency to online advertising by eliminating fraud, waste, and abuse.","54,902",2021-01-14,day,2021-01-14,day,,https://www.aminopay.com/,https://www.twitter.com/aminopay,https://www.linkedin.com/company/amino-payments
BastionZero,https://www.crunchbase.com/organization/commonwealth-crypto,,"Cryptocurrency, Information Technology","Boston, Massachusetts, United States",BastionZero is developing technology to allow traders to maintain custody of their coins while trading at a cryptocurrency exchange,"71,945",2024-05-30,day,2024-05-30,day,,https://www.bastionzero.com,https://twitter.com/getBastionZero,https://www.linkedin.com/company/bastionzero
BTC Digital,https://www.crunchbase.com/organization/meten,,"Blockchain, Education, Metaverse","Shenzhen, Guangdong, China",BTC Digital is a blockchain and metaverse technology company.,"73,149",2020-03-31,day,,,2020-03-31,https://btct.investorroom.com,,
Validated ID,https://www.crunchbase.com/organization/validated-id,,"Blockchain, E-Signature, Identity Management, Information Technology, Legal Tech, Productivity Tools, SaaS, Security, Software","Barcelona, Catalonia, Spain","Validated ID helps businesses bring security, trust, efficiency and legal compliance to customer identity verification and agreements.","79,143",2025-02-06,day,2025-02-06,day,,http://validatedid.com,http://twitter.com/validatedID,https://www.linkedin.com/company/validated-id
Proxy,https://www.crunchbase.com/organization/martians,,"Augmented Reality, Blockchain, Consumer, Identity Management, Information Technology, Mobile, Mobile Apps, Software","San Francisco, California, United States","Access More, Share Less. Proxy designs and builds privacy-first, human-led, identity technologies. With Proxy ID, your world is now open.","106,055",2023-05-09,day,2023-05-09,day,,https://proxy.co/,,https://www.linkedin.com/company/proxy-technologies/
Omniex,https://www.crunchbase.com/organization/omniex,,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Software, Trading Platform","San Francisco, California, United States","Omniex develops software infrastructure that integrates front, middle, and back-office services to simplify access and remove fragmentation.","157,885",2022-01-19,day,2022-01-19,day,,https://omniex.io,https://twitter.com/OmniexInc,https://www.linkedin.com/company/omniexinc/
Linius Technologies,https://www.crunchbase.com/organization/linius-technologies,,"Advertising, Artificial Intelligence (AI), Blockchain, Developer Tools, Digital Marketing, Machine Learning, PaaS, Software","South Yarra, Victoria, Australia",Linius Technologies develops the Video Virtualization Engine™ which virtualizes video services and artificial intelligence in the cloud.,"184,121",2016-05-09,day,2003-03-04,day,2016-05-09,http://www.linius.com,https://www.twitter.com/linius_tech,https://www.linkedin.com/company/1305556/
Nets,https://www.crunchbase.com/organization/nets,,"Blockchain, Financial Services, Information Services, Payments, Security, Software","Ballerup, Hovedstaden, Denmark","Nets is a provider of payments, card, and information services with an ambition.","385,470",2016-09-23,day,2020-11-15,day,2016-09-23,https://nets.eu,https://www.twitter.com/netsgroup,https://www.linkedin.com/company/nets-group
Bitnet Technologies,https://www.crunchbase.com/organization/bitnet-technologies,,"Bitcoin, Cryptocurrency, E-Commerce, Payments","San Francisco, California, United States",Bitnet Technologies is a digital commerce platform that helps enterprise scale merchants to accept bitcoin payments.,"552,565",2016-10-24,day,2016-10-24,day,,https://bitnet.io/,http://twitter.com/bitnettech,http://www.linkedin.com/company/bitnet-technologies-ltd-?
New Frontier Ventures,https://www.crunchbase.com/organization/gravitas-financial,,"Cryptocurrency, Finance, Financial Services","Singapore, Central Region, Singapore",New Frontier Ventures will be a revolutionary online crypto-bank that will be a repository for the cryptocurrencies of the users.,"3,658,375",2013-07-04,day,,,2013-07-04,http://gravitas.international/,,https://www.linkedin.com/company/gravitas-international/
