Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Coins.ph,https://www.crunchbase.com/organization/coins-ph,"Bitcoin, Blockchain, Financial Services, FinTech, Mobile Payments","Pasig, Rizal, Philippines",Coins.ph is a crypto asset management that provides buy and sell a variety of different cryptocurrencies and various financial services.,"8,906",2019-01-18,day,,https://coins.ph,https://x.com/coinsph,http://www.linkedin.com/company/coins-ph,"Quona Capital, Global Brain Corporation, Ribbit Capital, Pantera Capital, Innovation Endeavors"
Block,https://www.crunchbase.com/organization/square,"Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology","San Francisco, California, United States","Block, Inc. (NYSE: SQ) (formerly Square, Inc.) is a technology company with a focus on financial services.","9,697",,,2015-11-19,https://block.xyz,https://twitter.com/blocks,https://www.linkedin.com/company/joinblock,"Sequoia Capital, Khosla Ventures, First Round Capital, Sapphire Ventures, Goldman Sachs"
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,"Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games","Cyberport, Hong Kong Island, Hong Kong",Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,"9,823",,,2015-01-23,https://www.animocabrands.com,https://x.com/animocabrands,https://www.linkedin.com/company/animoca-brands,"Accel, Temasek Holdings, HSG, 500 Global, Coinbase Ventures"
Harbor,https://www.crunchbase.com/organization/harbor-platform,"Blockchain, Compliance, Computer, Cryptocurrency, Finance, Financial Services, Security","San Francisco, California, United States",Harbor is helping to power the next big wave in capital markets – tokenized securities - by automating regulatory compliance.,"10,007",2020-02-18,day,,https://harbor.com,https://twitter.com/harbor,https://www.linkedin.com/company/harbor-hq,"Andreessen Horowitz, Craft Ventures, South Park Commons, Founders Fund, Valor Equity Partners"
Tagomi,https://www.crunchbase.com/organization/tagomi-systems,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Chicago, Illinois, United States","Tagomi is a cryptocurrency trading platform that provides access to priced liquidity, low commissions, and maximized client return.","10,359",2020-05-27,day,,https://tagomi.com/,,https://www.linkedin.com/company/tagomi,"Founders Fund, Paradigm, Quiet Capital, Fabric Ventures, Abstract"
Surf,https://www.crunchbase.com/organization/trufan-inc,"Consumer, Loyalty Programs, Marketing, Software, Web3","Toronto, Ontario, Canada",Surf provides brands a better way to engage and understand consumers while compensating consumers for their data.,"10,644",2025-02-21,day,,http://joinsurf.com/,https://twitter.com/surfforbrands,https://ca.linkedin.com/company/surfforbrands,"Moneta Ventures, MAGIC Fund, Round13 Capital, LOI Venture, Protocol Ventures"
Safello,https://www.crunchbase.com/organization/safello,"Bitcoin, Finance, FinTech","Stockholm, Stockholms Lan, Sweden",Safello operates a bitcoin exchange and related services in the European market.,"12,900",,,2021-05-12,https://safello.com,http://twitter.com/SafelloAB,http://www.linkedin.com/company/safello,"Techstars, Digital Currency Group, White Star Capital, Nicolas Cary, Erik Voorhees"
Helio,https://www.crunchbase.com/organization/helio-d856,"Blockchain, FinTech, Payments, Web3","London, England, United Kingdom",Helio powers merchant payments for the Web3 economy,"12,992",2024-12-25,day,,https://www.helio.co,https://twitter.com/helio_pay,https://www.linkedin.com/company/heliofi,"Solana, Faction, Peak, RockawayX, David Szekely"
The Block,https://www.crunchbase.com/organization/the-block-crypto,"Bitcoin, Blockchain, Cryptocurrency, Digital Media, Information Services, Market Research, News","New York, New York, United States",The Block is the first and final word in digital assets.,"13,006",2023-11-13,day,,https://www.theblock.co,https://twitter.com/TheBlock__,https://www.linkedin.com/company/theblockcrypto/,"Everywhere Ventures, Greycroft, Floodgate, Pantera Capital, Bloomberg Beta"
SPIRIT Blockchain Capital,https://www.crunchbase.com/organization/spirit-blockchain,"Blockchain, Finance, FinTech, Venture Capital","Vancouver, British Columbia, Canada",SPIRIT Blockchain is a bridging blockchain and digital assets to capital markets.,"14,922",,,2022-09-14,http://spiritblockchain.com,,https://www.linkedin.com/company/spiritblockchain/,EOS Network Ventures
Korbit,https://www.crunchbase.com/organization/korbit,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea","Korbit provides online bitcoin exchange, wallet, and merchant processor services.","15,128",2017-09-28,day,,http://korbit.co.kr,https://twitter.com/KorbitOfficial,https://www.linkedin.com/company/korbit-inc/,"Draper Associates, Pantera Capital, BAM Ventures, Strong Ventures, Korea Investment Partners"
LedgerX,https://www.crunchbase.com/organization/ledgerx,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Virtual Currency","New York, New York, United States",LedgerX develops an institutional derivatives exchange platform for digital currencies.,"15,690",2023-04-25,day,,https://ledgerx.com,https://twitter.com/ledgerx,https://www.linkedin.com/company/ledgerx/,"Lightspeed Venture Partners, Blockchain Capital, SV Angel, MIAX Exchange Group, FundersClub"
Fyn,https://www.crunchbase.com/organization/beartax-inc,"Bitcoin, Blockchain, Consumer Software, Enterprise Software, Ethereum, Financial Services, FinTech, Information Technology, SaaS, Virtual Currency","Delaware City, Delaware, United States",Fyn helps enterprise and institutional investors manage their digital asset taxation.,"15,769",2023-08-04,day,,https://fynhq.com,https://twitter.com/hellofynhq,https://linkedin.com/company/hellofynhq,"Hustle Fund, Ascend, Defy.vc, BAM Ventures, Liquid 2 Ventures"
Drip Labs,https://www.crunchbase.com/organization/drip-71be,"Blockchain, Information Technology, Internet, Service Industry","San Francisco, California, United States",Drip Labs creates creator-centric Web3 content distribution network and offers free digital gifts from well-known producers.,"16,014",2025-04-02,day,,https://drip.haus,https://twitter.com/drip_haus,https://www.linkedin.com/company/driphaus,"Coinbase Ventures, Progression, NFX, 6th Man Ventures, Big Brain Holdings"
Tactic,https://www.crunchbase.com/organization/tactic-d1d8,"Cryptocurrency, FinTech, Software","New York, New York, United States",Tactic is the crypto accounting platform that's built to save businesses time.,"16,233",2023-01-17,day,,https://www.tactic.com/,https://twitter.com/choose_tactic,https://www.linkedin.com/company/choose-tactic/,"Founders Fund, Lux Capital, Coinbase Ventures, Ramp, Pathlight Ventures"
double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,"Blockchain, Cryptocurrency, Video Games","Nishi, Tokyo, Japan",double jump.tokyo Is a blockchain game developer and NFT solution provider for large-scale enterprises in the gaming & entertainment sector.,"16,583",2018-05-07,day,,https://www.doublejump.tokyo/,https://x.com/doublejump_en,https://www.linkedin.com/company/doublejump-tokyo/,"Polygon, Amber Group, SBI Investment, Z Venture Capital, Protocol Labs"
Securrency,https://www.crunchbase.com/organization/securrency,"Blockchain, Financial Services, FinTech, Trading Platform","Washington, District of Columbia, United States",Securrency delivers financial technology products for the tokenized issuance and trading of securities.,"18,233",2023-10-19,day,,https://securrency.com,https://twitter.com/Securrency,https://www.linkedin.com/company/securrency,"Alumni Ventures, State Street Corporation, WisdomTree, RRE Ventures, ARK FUND"
Wyre,https://www.crunchbase.com/organization/wyre,"Cryptocurrency, Financial Services, FinTech, Payments","San Francisco, California, United States",Wyre is a crypto and payment infrastructure company that develops a variety of payment APIs.,"19,621",2024-02-15,day,,https://www.sendwyre.com,https://www.twitter.com/sendwyre,https://www.linkedin.com/company/wyre,"Draper Associates, Kraken, Fortress Investment Group, Blockchain Capital, Stellar Development Foundation"
Spindl,https://www.crunchbase.com/organization/spindl,"Advertising, Blockchain, Software, Web3","San Francisco, California, United States",Spindl develops a blockchain-based attribution system to help businesses accelerate user growth.,"20,271",2025-01-31,day,,https://www.spindl.xyz,https://twitter.com/spindl_xyz,https://www.linkedin.com/company/spindlxyz,"Polygon, Tribe Capital, Dragonfly, FJ Labs, Multicoin Capital"
Coinfirm,https://www.crunchbase.com/organization/coinfirm,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech","London, England, United Kingdom",Coinfirm is a blockchain analytics and investigations solutions.,"21,273",2024-05-21,day,,http://www.coinfirm.com,https://twitter.com/coinfirm_io,https://www.linkedin.com/company/coinfirm,"Middlegame Ventures, SIX FinTech Ventures, Mission Gate, G1 Ventures, Alfabeat"
Beam,https://www.crunchbase.com/organization/beam-wallet,"B2B, B2C, Blockchain, Cryptocurrency, E-Commerce, Finance, Internet, Marketing, Payments, Retail","Lisbon, Lisboa, Portugal",Transforming payments and marketing for the 21st Century.,"23,867",2019-06-01,month,,https://www.beamwallet.com,https://twitter.com/beamwallet,https://www.linkedin.com/company/beam-wallet,"Sequoia Capital, Partech, Surge, Alex Cheiman"
Ziglu,https://www.crunchbase.com/organization/ziglu,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech","London, England, United Kingdom",Ziglu provides a digital platform that enables customers to exchange fiat currency for cryptocurrency.,"23,955",2022-04-19,day,,https://www.ziglu.io,https://twitter.com/ZigluMoney,https://www.linkedin.com/company/ziglu,"Eterna Capital, Angel Investment Network, AIV Capital"
Chain,https://www.crunchbase.com/organization/chain-e81f,"Blockchain, Finance, Financial Services","San Francisco, California, United States","Chain built cryptographic ledger systems to make financial services smarter, more secure, and more connected.","23,996",2018-09-01,month,,https://www.chain.com/,https://twitter.com/chain,,"BoxGroup, Khosla Ventures, Thrive Capital, Blockchain Capital, 500 Global"
Metaco,https://www.crunchbase.com/organization/metaco,"Bitcoin, Cryptocurrency, Ethereum, FinTech, Information Technology","Lausanne, Vaud, Switzerland",METACO designs institutional digital asset management solutions for the financial industry.,"24,521",2023-05-17,day,,https://metaco.com,https://www.twitter.com/metaco_sa,https://www.linkedin.com/company/metaco-ag,"Verve Ventures, Standard Chartered Bank, Avaloq, Zürcher Kantonal Bank, Swisscom"
MyCrypto,https://www.crunchbase.com/organization/mycrypto,"Blockchain, Cryptocurrency, Ethereum, Finance, Financial Services, Information Services, Information Technology, Software","Redondo Beach, California, United States","MyCrypto is an open-source, client-side tool for interacting with the blockchain. ","24,663",2022-02-01,day,,https://www.mycrypto.com,https://twitter.com/mycrypto,https://www.linkedin.com/company/mycrypto/,"Polychain, Boost VC, ShapeShift, Ausum Ventures, Lily Liu"
Nebula Genomics,https://www.crunchbase.com/organization/nebula-genomics,"Biotechnology, Blockchain, Genetics, Health Care","San Francisco, California, United States",Nebula Genomics leverages blockchain technology to eliminate middlemen and empower people to own their personal genomic data.,"25,423",2021-08-11,day,,https://www.nebula.org,https://twitter.com/NebulaGenomics,https://www.linkedin.com/company/18466471/,"Mayfield Fund, Khosla Ventures, ARCH Venture Partners, Hikma Ventures, Great Point Partners"
Liquid Global,https://www.crunchbase.com/organization/liquid-global,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Information Services, Information Technology, IT Management","Tokyo, Tokyo, Japan",Liquid Global is a developer of a cryptocurrency trading platform designed to provide liquidity to the crypto economy.,"25,507",2022-02-02,day,,https://www.liquid.com/,https://twitter.com/liquid_global,https://www.linkedin.com/company/quoine/,"Bossa Invest, FTX, IDG Capital, Bitmain, JAFCO"
Factom,https://www.crunchbase.com/organization/factom,"Bitcoin, Enterprise Software, FinTech, Information Technology","Austin, Texas, United States","Factom, Inc. is a blockchain innovations company providing blockchain as a service platforms.","26,294",2021-08-02,day,,https://factom.com/,http://twitter.com/factom,http://www.linkedin.com/company/factom,"Plug and Play, Draper Associates, Tim Draper, BnkToTheFuture, Medici Ventures"
Alter,https://www.crunchbase.com/organization/facemoji,"3D Technology, Apps, Artificial Intelligence (AI), Computer Vision, Metaverse, Social Media, Virtual Goods, Web3","New York, New York, United States",Alter is an open-source platform that consists of a 3D avatar system and motion capture for web3.,"26,496",2022-10-27,day,,http://alter.xyz/,https://www.twitter.com/alter,https://www.linkedin.com/company/alterxyz,"General Catalyst, Play Ventures, Greycroft, Betaworks, X (formerly Twitter)"
Horangi,https://www.crunchbase.com/organization/horangi,"Blockchain, Cloud Security, Cyber Security, Innovation Management, Network Security, Risk Management, SaaS, Security, Software","Singapore, Central Region, Singapore",Horangi is a SaaS cybersecurity company that offers product innovation and technology designed to protect organizations.,"26,940",2023-06-28,day,,https://horangi.com,https://twitter.com/horangi_inc,https://www.linkedin.com/company/horangi/,"500 Global, Monk’s Hill Ventures, Genesis Alternative Ventures, Prasetia Dwidharma, Right Click Capital"
Easy Crypto,https://www.crunchbase.com/organization/easy-crypto,"Bitcoin, Cryptocurrency, Financial Services, Online Portals","Auckland, Auckland, New Zealand",Easy Crypto sells bitcoin and cryptocurrencies.,"28,619",2025-03-18,day,,https://www.easycrypto.com,https://x.com/EasyCrypto_EC,https://www.linkedin.com/company/easy-crypto,"Icehouse Ventures, Enterprise Angels, Seven Peaks Ventures, NZVC, GD1"
Gilded,https://www.crunchbase.com/organization/gilded,"Accounting, Blockchain, Cryptocurrency, FinTech, Web3","New Orleans, Louisiana, United States",Gilded enables web3 organizations to scale with a unified solution that eliminates the complexity of crypto payments and financial reporting,"30,140",2023-09-14,day,,https://gilded.finance,https://www.twitter.com/gildedfinance,https://www.linkedin.com/company/gilded,"Alumni Ventures, Techstars, Bonfire Ventures, Not Boring Capital, Redbeard Ventures"
Pixelmon,https://www.crunchbase.com/organization/pixelmon,"Gaming, Metaverse, Web3","New York, New York, United States",Pixelmon is a decentralized web3 gaming IP company that develops online video games.,"30,810",2023-02-28,day,,https://www.pixelmon.ai/,https://twitter.com/Pixelmon,https://www.linkedin.com/company/pixelmon,"Amber Group, Foresight Ventures, Animoca Brands, Sfermion, Mechanism Capital"
CoWSwap,https://www.crunchbase.com/organization/cowswap,"Blockchain, Cryptocurrency, Finance","Lisbon, Lisboa, Portugal",CoWSwap is the first trading interface built on top of the CoW Protocol.,"31,696",2020-02-02,day,,https://swap.cow.fi/#/swap?chain=mainnet,,,"Robot Ventures, Cherry Ventures, Hack VC, Blockchain Capital, LongHash Ventures"
ErisX,https://www.crunchbase.com/organization/erisx,"Blockchain, Financial Services, FinTech, Information Technology, Insurance, Software","Chicago, Illinois, United States",ErisX specializes in digital asset space that offers both spot and futures contracts on one platform.,"32,683",2021-10-20,day,,https://erisx.com/,https://twitter.com/ErisX_Digital,https://www.linkedin.com/company/erisx/,"Hidden Road, Valor Equity Partners, ConsenSys, Robinhood, Pantera Capital"
GK8 by Galaxy,https://www.crunchbase.com/organization/gk8,"Asset Management, Blockchain, Cyber Security, Financial Services, Software","Tel Aviv, Tel Aviv, Israel","GK8, a Galaxy (GLXY:TSX) company, provides financial institutions with the most reliable self-custody technology for digital assets","33,067",2022-12-02,day,,https://www.gk8.io/,https://x.com/GK8_Security,https://www.linkedin.com/company/gk8/,"IN Venture, Eden Block, Rafi Gidron"
Coinify,https://www.crunchbase.com/organization/coinify-com,"Bitcoin, Cryptocurrency, Developer APIs, Finance, Financial Exchanges, Financial Services, FinTech, Payments, Trading Platform, Virtual Currency","Copenhagen, Hovedstaden, Denmark","Helping businesses accelerate growth by accepting cryptocurrency payments, and buying crypto.","33,211",2021-08-02,day,,https://www.coinify.com,https://twitter.com/coinify,https://www.linkedin.com/company/coinify,"PSV, Seed Capital, Accelerace, Nordic Eye Venture Capital, SEB Venture Capital"
earlyworks,https://www.crunchbase.com/organization/earlyworks,"Blockchain, Cryptocurrency, Finance, Security, Web Design","Tokyo, Tokyo, Japan","Early Works is a Next-generation blockchain technology that realizes high speed, high scalability, and high security.","33,315",,,2023-07-25,https://e-arly.works/,https://x.com/earlyworks_ir,https://in.linkedin.com/company/e-arlyworks,"FE Invest, Bullet Group, Kyowa, Yuichi Kawasaki, AMBITION Group"
Marathon Digital Holdings,https://www.crunchbase.com/organization/marathon-patent-group,"Bitcoin, Blockchain, Cryptocurrency, Energy","Fort Lauderdale, Florida, United States","Marathon Digital Holdings specializes in digital asset computing, developing and implementing innovative technologies.","34,474",,,2012-02-09,https://www.mara.com,https://x.com/MarathonDH,https://www.linkedin.com/company/marathon-digital-holdings/,"Fortress Investment Group, Silvergate Bank"
Bison Trails,https://www.crunchbase.com/organization/bison-trails,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States",Bison Trails allows the user to run secure infrastructure on multiple blockchains.,"34,622",2021-01-19,day,,https://bisontrails.co/,https://twitter.com/BisonTrails,https://www.linkedin.com/company/bison-trails/,"Kleiner Perkins, Coinbase Ventures, Blockchain Capital, Initialized Capital, Collaborative Fund"
Multis,https://www.crunchbase.com/organization/multis,"Blockchain, Consulting, Cryptocurrency, Financial Services, FinTech, Insurance, Internet, Software, Venture Capital, Web3","San Francisco, California, United States",Multis is a crypto treasury management tool designed for web3 organizations.,"35,596",2024-04-18,day,,https://multis.com,https://twitter.com/multisHQ,https://www.linkedin.com/company/13991256,"Y Combinator, Sequoia Capital, Long Journey Ventures, Coinbase Ventures, White Star Capital"
ZenSports,https://www.crunchbase.com/organization/zensports,"Cryptocurrency, Gambling, Mobile Apps, Sports","Miami, Florida, United States","Mobile sports betting against the house or peer-to-peer, using fiat or cryptocurrencies","35,636",2022-10-10,day,,http://zensports.com/,https://www.twitter.com/zensports,https://www.linkedin.com/company/zensports,"Gaingels, LAUNCH, Forum Ventures, MicroVentures, Right Side Capital Management"
IndiGG,https://www.crunchbase.com/organization/indigg,"Blockchain, Gaming, Information Technology, Online Games, Web3","Bengaluru, Karnataka, India",IndiGG is NFT based play-to-earn game in web3 frontier. IndiGG is the India sub-decentralized autonomous organization(subDAO) of YGG.,"36,452",2023-02-23,day,,https://indigg-dev.netlify.app/,https://twitter.com/YGGIndia,https://www.linkedin.com/company/indi-gg/,"Lightspeed Venture Partners, Play Ventures, Peak XV Partners, Griffin Gaming Partners, Jump Capital"
Triangle,https://www.crunchbase.com/organization/triangle-2,"B2B, Developer APIs, E-Commerce, Web3","San Francisco, California, United States","Triangle, acquired by Bridge and now Stripe is a software company that builds web3 wallet infrastructure.","36,617",2024-11-01,day,,https://www.triangleplatform.com/,https://twitter.com/triangleplatfrm,https://www.linkedin.com/company/triangleplatform/,"Social Capital, WndrCo, Collab+Currency, RareBreed Ventures, DCG Expeditions"
Luno,https://www.crunchbase.com/organization/lunomoney,"Cryptocurrency, Financial Services, Virtual Currency","London, England, United Kingdom","Luno is a global cryptocurrency firm that specializes in bitcoin, fintech, digital currencies, and financial services.","37,573",2020-09-09,day,,https://www.luno.com,https://twitter.com/lunomoney,https://www.linkedin.com/company/lunomoney/,"Digital Currency Group, Balderton Capital, Ariadne Capital Limited, Venturra, PayU GPO"
DeCurret,https://www.crunchbase.com/organization/decurret,"Cryptocurrency, Financial Services, Internet, Virtual Reality, Web Apps","Tokyo, Tokyo, Japan","DeCurret provides optimal rate of digital currency, instantly processing a large amount of currency transactions stably.","38,102",2022-02-01,day,,https://www.decurret.com/,https://twitter.com/DeCurret,,"MUFG Bank, Fujitsu, KDDI, Mitsubishi Corporation, Sumitomo Mitsui Banking Corporation"
Curv,https://www.crunchbase.com/organization/curv-5d20,"Blockchain, Cloud Computing, Cryptocurrency, Cyber Security, FinTech, Software","New York, New York, United States",Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets.,"38,213",2021-03-08,day,,https://www.curv.co,https://twitter.com/curvmpc,https://www.linkedin.com/company/curv,"Franklin Templeton, Team8, Coinbase Ventures, Digital Currency Group, CommerzVentures"
Leaf,https://www.crunchbase.com/organization/leaf-global-fintech,"Blockchain, Financial Services, FinTech, Social Entrepreneurship","Lewes, Delaware, United States","Leaf is a digital wallet that enables the unbanked to store, send, receive, and exchange currencies on their phones— no smartphone required.","38,582",2022-03-14,day,,http://www.leafglobalfintech.com/,https://twitter.com/LeafGlobalTech/,https://www.linkedin.com/company/leaf-global-fintech/about/,"National Science Foundation, Techstars, Catalyst Fund, NSF Small Business Innovation Research / Small Business Technology Transfer (SBIR/STTR), Colorado Office of Economic Development and International Trade"
Authenteq - an FNZ company,https://www.crunchbase.com/organization/authenteq,"Asset Management, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Insurance, Machine Learning, Software, Wealth Management","Reykjavík, Gullbringusysla, Iceland","Authenteq is the world’s first fully automated KYC identity verification platform. Verify identities instantly, onboard users in 35 seconds.","39,321",2022-11-01,month,,https://onboarding.fnz.com/solutions/id-verification,https://twitter.com/FNZ_Group,https://www.linkedin.com/company/fnz/,"Draper Associates, 3VC, NAP, Startupbootcamp, EASME"
Fortress Blockchain Technologies,https://www.crunchbase.com/organization/fortress-blockchain-technologies,"Blockchain, Financial Services, FinTech, Mobile Payments","Las Vegas, Nevada, United States","Financial, regulatory and technology infrastructure for NFT and crypto innovators","40,228",2023-09-08,day,,https://fortress.io/,https://twitter.com/Fortress_io,https://www.linkedin.com/company/fortressblocktech,"Ayon Capital, Soaring Investment Management"
Byte Trading,https://www.crunchbase.com/organization/byte-trading,"Cryptocurrency, Finance, Financial Services, Information Technology, Software","London, England, United Kingdom",Byte is an algorithmic market maker in digital assets.,"40,795",2025-02-14,day,,https://byte-trading.com/,https://twitter.com/byte_trading,https://www.linkedin.com/company/byte-trading/,"redalpine, L1D, Possible Ventures, D4 Ventures"
SolanaFM,https://www.crunchbase.com/organization/solanafm,"Blockchain, Information Services","Singapore, Central Region, Singapore",SolanaFM provides blockchain indexing and analytical services to quickly capture and analyze data.,"42,310",2024-09-20,day,,https://solana.fm/?cluster=mainnet-qn1,https://twitter.com/solanafm,https://www.linkedin.com/company/solanafm,"Sygnum, CoinHako, The Spartan Group, Mirana, Zee Prime Capital"
