Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Block,https://www.crunchbase.com/organization/square,,"Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology","San Francisco, California, United States","Block, Inc. (NYSE: SQ) (formerly Square, Inc.) is a technology company with a focus on financial services.","9,697",2015-11-19,day,,,2015-11-19,https://block.xyz,https://twitter.com/blocks,https://www.linkedin.com/company/joinblock,"Sequoia Capital, Khosla Ventures, First Round Capital, Sapphire Ventures, Goldman Sachs"
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,,"Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games","Cyberport, Hong Kong Island, Hong Kong",Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,"9,823",2015-01-23,day,,,2015-01-23,https://www.animocabrands.com,https://x.com/animocabrands,https://www.linkedin.com/company/animoca-brands,"Accel, Temasek Holdings, HSG, 500 Global, Coinbase Ventures"
TerraZero Technologies,https://www.crunchbase.com/organization/terrazero-technologies,,"Blockchain, Business Development, Cryptocurrency, Information Technology, Metaverse, Web3","Vancouver, British Columbia, Canada","TerraZero Technologies is a computer software company specializing in the fields of Web3, blockchain, 3D modelling, and 3D animation.","9,919",2023-08-25,day,2023-08-25,day,,https://terrazero.com/,https://twitter.com/terrazerotech/,https://www.linkedin.com/company/terrazerotech,Bigg Digital Assets
Harbor,https://www.crunchbase.com/organization/harbor-platform,,"Blockchain, Compliance, Computer, Cryptocurrency, Finance, Financial Services, Security","San Francisco, California, United States",Harbor is helping to power the next big wave in capital markets – tokenized securities - by automating regulatory compliance.,"10,007",2020-02-18,day,2020-02-18,day,,https://harbor.com,https://twitter.com/harbor,https://www.linkedin.com/company/harbor-hq,"Andreessen Horowitz, Craft Ventures, South Park Commons, Founders Fund, Valor Equity Partners"
Tagomi,https://www.crunchbase.com/organization/tagomi-systems,,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Chicago, Illinois, United States","Tagomi is a cryptocurrency trading platform that provides access to priced liquidity, low commissions, and maximized client return.","10,359",2020-05-27,day,2020-05-27,day,,https://tagomi.com/,,https://www.linkedin.com/company/tagomi,"Founders Fund, Paradigm, Quiet Capital, Fabric Ventures, Abstract"
Surf,https://www.crunchbase.com/organization/trufan-inc,,"Consumer, Loyalty Programs, Marketing, Software, Web3","Toronto, Ontario, Canada",Surf provides brands a better way to engage and understand consumers while compensating consumers for their data.,"10,644",2025-02-21,day,2025-02-21,day,,http://joinsurf.com/,https://twitter.com/surfforbrands,https://ca.linkedin.com/company/surfforbrands,"Moneta Ventures, MAGIC Fund, Round13 Capital, LOI Venture, Protocol Ventures"
Headquarters,https://www.crunchbase.com/organization/headquarters-fdb9,,"Accounting, Blockchain, Enterprise Software, Financial Services, Payments, Web3","Singapore, Central Region, Singapore",Headquarters helps Web3 companies automate their treasury ops and reporting.,"10,807",2025-05-13,day,2025-05-13,day,,https://www.hq.xyz,https://twitter.com/HQ_xyz,https://www.linkedin.com/company/hq-xyz,"500 Global, FJ Labs, Saison Capital, DWF Labs, LongHash Ventures"
Wind.app,https://www.crunchbase.com/organization/wind-app,,"FinTech, Web3","Singapore, Central Region, Singapore",Wind.app is platform for global payments.,"12,499",2025-04-21,day,2025-04-21,day,,https://wind.app/,https://twitter.com/WindWallet,https://www.linkedin.com/company/windapp/,"Alumni Ventures, Saison Capital, Global Founders Capital, The Spartan Group, Tiny VC"
Safello,https://www.crunchbase.com/organization/safello,,"Bitcoin, Finance, FinTech","Stockholm, Stockholms Lan, Sweden",Safello operates a bitcoin exchange and related services in the European market.,"12,900",2021-05-12,day,,,2021-05-12,https://safello.com,http://twitter.com/SafelloAB,http://www.linkedin.com/company/safello,"Techstars, Digital Currency Group, White Star Capital, Nicolas Cary, Erik Voorhees"
HAL,https://www.crunchbase.com/organization/hal-64ab,,"Blockchain, Ethereum, Information Technology, Software","London, England, United Kingdom",HAL provides blockchain monitoring services intended to create centralized lighthouses.,"12,918",2023-02-21,day,2023-02-21,day,,https://www.hal.xyz,https://twitter.com/HAL_team,https://www.linkedin.com/company/halxyz,"Animoca Brands, CoinFund, imToken, HashKey Capital, Wintermute Ventures"
The Block,https://www.crunchbase.com/organization/the-block-crypto,,"Bitcoin, Blockchain, Cryptocurrency, Digital Media, Information Services, Market Research, News","New York, New York, United States",The Block is the first and final word in digital assets.,"13,006",2023-11-13,day,2023-11-13,day,,https://www.theblock.co,https://twitter.com/TheBlock__,https://www.linkedin.com/company/theblockcrypto/,"Everywhere Ventures, Greycroft, Floodgate, Pantera Capital, Bloomberg Beta"
Candy Digital,https://www.crunchbase.com/organization/candy-digital-d2d1,,"Blockchain, Collectibles, Non-Fungible Token (NFT), Sports, Web3","New York, New York, United States",Candy Digital is an NFT company that allows MLB fans to buy and trade officially licensed nonfungible tokens.,"13,751",2025-04-16,day,2025-04-16,day,,https://www.candy.io,https://twitter.com/candydigital,https://www.linkedin.com/company/candydigital,"Insight Partners, Gaingels, New Enterprise Associates, ConsenSys, SoftBank Vision Fund"
The INX Digital Company,https://www.crunchbase.com/organization/inx-limited,,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Gibraltar, Gibraltar, Gibraltar",INX owns regulated trading platforms for digital securities and cryptocurrencies.,"13,943",2022-08-02,day,,,2022-08-02,https://www.inx.co/,https://twitter.com/INX_Group,https://www.linkedin.com/company/inxlimited/,"Republic, Launch Code Capital, SPiCE VC"
Globacap,https://www.crunchbase.com/organization/globacap,,"Blockchain, Financial Services, FinTech, Software","London, England, United Kingdom","We enable freedom through automation. We’re driving the evolution of capital markets by making processes frictionless, on a global scale.","14,270",2025-03-31,day,2025-03-31,day,,http://www.globacap.com,https://twitter.com/globacap,https://www.linkedin.com/company/globacap,"Cboe Global Markets, CoinShares, Moore Strategic Ventures, Johannesburg Stock Exchange, GABI Ventures"
Mirror,https://www.crunchbase.com/organization/mirror-c5ca,,Blockchain,"San Francisco, California, United States","Mirror is a publication platform for creators, communities, and DAOs.","14,997",2024-05-02,day,2024-05-02,day,,https://mirror.xyz,https://twitter.com/viamirror,https://www.linkedin.com/company/mirror-xyz,"SV Angel, Musha Ventures"
Korbit,https://www.crunchbase.com/organization/korbit,,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea","Korbit provides online bitcoin exchange, wallet, and merchant processor services.","15,128",2017-09-28,day,2017-09-28,day,,http://korbit.co.kr,https://twitter.com/KorbitOfficial,https://www.linkedin.com/company/korbit-inc/,"Draper Associates, Pantera Capital, BAM Ventures, Strong Ventures, Korea Investment Partners"
LedgerX,https://www.crunchbase.com/organization/ledgerx,,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Virtual Currency","New York, New York, United States",LedgerX develops an institutional derivatives exchange platform for digital currencies.,"15,690",2023-04-25,day,2023-04-25,day,,https://ledgerx.com,https://twitter.com/ledgerx,https://www.linkedin.com/company/ledgerx/,"Lightspeed Venture Partners, Blockchain Capital, SV Angel, MIAX Exchange Group, FundersClub"
Fyn,https://www.crunchbase.com/organization/beartax-inc,,"Bitcoin, Blockchain, Consumer Software, Enterprise Software, Ethereum, Financial Services, FinTech, Information Technology, SaaS, Virtual Currency","Delaware City, Delaware, United States",Fyn helps enterprise and institutional investors manage their digital asset taxation.,"15,769",2023-08-04,day,2023-08-04,day,,https://fynhq.com,https://twitter.com/hellofynhq,https://linkedin.com/company/hellofynhq,"Hustle Fund, Ascend, Defy.vc, BAM Ventures, Liquid 2 Ventures"
Drip Labs,https://www.crunchbase.com/organization/drip-71be,,"Blockchain, Information Technology, Internet, Service Industry","San Francisco, California, United States",Drip Labs creates creator-centric Web3 content distribution network and offers free digital gifts from well-known producers.,"16,014",2025-04-02,day,2025-04-02,day,,https://drip.haus,https://twitter.com/drip_haus,https://www.linkedin.com/company/driphaus,"Coinbase Ventures, Progression, NFX, 6th Man Ventures, Big Brain Holdings"
double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,,"Blockchain, Cryptocurrency, Video Games","Nishi, Tokyo, Japan",double jump.tokyo Is a blockchain game developer and NFT solution provider for large-scale enterprises in the gaming & entertainment sector.,"16,583",2018-05-07,day,2018-05-07,day,,https://www.doublejump.tokyo/,https://x.com/doublejump_en,https://www.linkedin.com/company/doublejump-tokyo/,"Polygon, Amber Group, SBI Investment, Z Venture Capital, Protocol Labs"
Alterya,https://www.crunchbase.com/organization/alterya,,"Apps, Cryptocurrency, Software, Web3","Tel Aviv, Tel Aviv, Israel","Alterya is a Software Development firm offering Simple, safe, and compliant access to web3.","17,956",2025-01-13,day,2025-01-13,day,,https://www.alterya.dev/,,https://www.linkedin.com/company/83538897/,"Y Combinator, Tribe Capital, Nyca Partners, FJ Labs, Liquid 2 Ventures"
CryptoSlam,https://www.crunchbase.com/organization/cryptoslam,,"Blockchain, Ethereum, Financial Services, Non-Fungible Token (NFT)","Overland Park, Kansas, United States",CryptoSlam is an aggregator of non-fungible tokens (NFTs) collectibles data.,"18,221",2023-01-17,day,2023-01-17,day,,https://www.cryptoslam.io,https://twitter.com/cryptoslamio,https://www.linkedin.com/company/cryptoslam,"KCRise Fund, Stocktwits, SPIRIT Blockchain Capital, Animoca Brands, Redbeard Ventures"
Securrency,https://www.crunchbase.com/organization/securrency,,"Blockchain, Financial Services, FinTech, Trading Platform","Washington, District of Columbia, United States",Securrency delivers financial technology products for the tokenized issuance and trading of securities.,"18,233",2023-10-19,day,2023-10-19,day,,https://securrency.com,https://twitter.com/Securrency,https://www.linkedin.com/company/securrency,"Alumni Ventures, State Street Corporation, WisdomTree, RRE Ventures, ARK FUND"
Wyre,https://www.crunchbase.com/organization/wyre,,"Cryptocurrency, Financial Services, FinTech, Payments","San Francisco, California, United States",Wyre is a crypto and payment infrastructure company that develops a variety of payment APIs.,"19,621",2024-02-15,day,2024-02-15,day,,https://www.sendwyre.com,https://www.twitter.com/sendwyre,https://www.linkedin.com/company/wyre,"Draper Associates, Kraken, Fortress Investment Group, Blockchain Capital, Stellar Development Foundation"
CipherTrace,https://www.crunchbase.com/organization/ciphertrace-inc,,"Big Data, Bitcoin, Compliance, Cryptocurrency, Cyber Security","Menlo Park, California, United States",CipherTrace is a cryptocurrency intelligence company that delivers delivers cryptocurrency AML compliance solutions.,"20,070",2021-09-09,day,2021-09-09,day,,https://ciphertrace.com/,https://twitter.com/ciphertrace,https://www.linkedin.com/company/ciphertrace/,"WestWave Capital, Aspect Ventures, Galaxy Digital, Neotribe Ventures, Third Point Ventures"
Spindl,https://www.crunchbase.com/organization/spindl,,"Advertising, Blockchain, Software, Web3","San Francisco, California, United States",Spindl develops a blockchain-based attribution system to help businesses accelerate user growth.,"20,271",2025-01-31,day,2025-01-31,day,,https://www.spindl.xyz,https://twitter.com/spindl_xyz,https://www.linkedin.com/company/spindlxyz,"Polygon, Tribe Capital, Dragonfly, FJ Labs, Multicoin Capital"
TradeBlock,https://www.crunchbase.com/organization/tradeblock,,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Stamford, Connecticut, United States",TradeBlock is the world's leading provider of institutional trading tools for digital currencies.,"20,860",2021-01-05,day,2021-01-05,day,,https://tradeblock.com/,http://twitter.com/TradeBlock,https://www.linkedin.com/company/tradeblock/,"Andreessen Horowitz, Y Combinator, Digital Currency Group, MassChallenge, DCVC"
Simplex,https://www.crunchbase.com/organization/simplex-3,,"Bitcoin, Cryptocurrency, E-Commerce, Financial Services, FinTech, Fraud Detection, Payments","Giv'atayim, Tel Aviv, Israel",Simplex is an EMI licensed Fintech company providing fraudless payment processing solutions to online merchants,"21,108",2021-05-06,day,2021-05-06,day,,http://www.simplex.com,https://twitter.com/SimplexCC,https://www.linkedin.com/company/simplexcc,"Korea Investment Partners, FundersClub, Accomplice, Bitmain, iAngels"
Coinfirm,https://www.crunchbase.com/organization/coinfirm,,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech","London, England, United Kingdom",Coinfirm is a blockchain analytics and investigations solutions.,"21,273",2024-05-21,day,2024-05-21,day,,http://www.coinfirm.com,https://twitter.com/coinfirm_io,https://www.linkedin.com/company/coinfirm,"Middlegame Ventures, SIX FinTech Ventures, Mission Gate, G1 Ventures, Alfabeat"
Beam,https://www.crunchbase.com/organization/beam-wallet,,"B2B, B2C, Blockchain, Cryptocurrency, E-Commerce, Finance, Internet, Marketing, Payments, Retail","Lisbon, Lisboa, Portugal",Transforming payments and marketing for the 21st Century.,"23,867",2019-06-01,month,2019-06-01,month,,https://www.beamwallet.com,https://twitter.com/beamwallet,https://www.linkedin.com/company/beam-wallet,"Sequoia Capital, Partech, Surge, Alex Cheiman"
Chain,https://www.crunchbase.com/organization/chain-e81f,,"Blockchain, Finance, Financial Services","San Francisco, California, United States","Chain built cryptographic ledger systems to make financial services smarter, more secure, and more connected.","23,996",2018-09-01,month,2018-09-01,month,,https://www.chain.com/,https://twitter.com/chain,,"BoxGroup, Khosla Ventures, Thrive Capital, Blockchain Capital, 500 Global"
Hexagate,https://www.crunchbase.com/organization/hexagate,,"Blockchain, Cyber Security, Developer APIs, Fraud Detection, Security, Web3","Tel Aviv-yafo, Tel Aviv, Israel",Hexagate provides real-time web3 security and data API services.,"24,119",2024-12-18,day,2024-12-18,day,,http://hexagate.com/,https://twitter.com/hexagate_,https://www.linkedin.com/company/gethexagate,"Entrée Capital, INT3, Samsung NEXT’s Q Fund"
Metaco,https://www.crunchbase.com/organization/metaco,,"Bitcoin, Cryptocurrency, Ethereum, FinTech, Information Technology","Lausanne, Vaud, Switzerland",METACO designs institutional digital asset management solutions for the financial industry.,"24,521",2023-05-17,day,2023-05-17,day,,https://metaco.com,https://www.twitter.com/metaco_sa,https://www.linkedin.com/company/metaco-ag,"Verve Ventures, Standard Chartered Bank, Avaloq, Zürcher Kantonal Bank, Swisscom"
Nebula Genomics,https://www.crunchbase.com/organization/nebula-genomics,,"Biotechnology, Blockchain, Genetics, Health Care","San Francisco, California, United States",Nebula Genomics leverages blockchain technology to eliminate middlemen and empower people to own their personal genomic data.,"25,423",2021-08-11,day,2021-08-11,day,,https://www.nebula.org,https://twitter.com/NebulaGenomics,https://www.linkedin.com/company/18466471/,"Mayfield Fund, Khosla Ventures, ARCH Venture Partners, Hikma Ventures, Great Point Partners"
Loopring,https://www.crunchbase.com/organization/loopring,,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum","Shanghai, Shanghai, China",Loopring is an open protocol for building decentralized exchanges.,"25,714",2018-05-05,day,2018-05-05,day,,https://loopring.org/,https://twitter.com/loopringorg,https://www.linkedin.com/company/loopring/,"NEO, G2H2 Capital, China Growth Capital, Kosmos Ventures, Fundamental Labs"
Factom,https://www.crunchbase.com/organization/factom,,"Bitcoin, Enterprise Software, FinTech, Information Technology","Austin, Texas, United States","Factom, Inc. is a blockchain innovations company providing blockchain as a service platforms.","26,294",2021-08-02,day,2021-08-02,day,,https://factom.com/,http://twitter.com/factom,http://www.linkedin.com/company/factom,"Plug and Play, Draper Associates, Tim Draper, BnkToTheFuture, Medici Ventures"
Alter,https://www.crunchbase.com/organization/facemoji,,"3D Technology, Apps, Artificial Intelligence (AI), Computer Vision, Metaverse, Social Media, Virtual Goods, Web3","New York, New York, United States",Alter is an open-source platform that consists of a 3D avatar system and motion capture for web3.,"26,496",2022-10-27,day,2022-10-27,day,,http://alter.xyz/,https://www.twitter.com/alter,https://www.linkedin.com/company/alterxyz,"General Catalyst, Play Ventures, Greycroft, Betaworks, X (formerly Twitter)"
Tixologi,https://www.crunchbase.com/organization/tixologi,,"Blockchain, Software, Ticketing","Los Angeles, California, United States",A fully customizable ticketing platform allowing event producers to sell more tickets by building their brand and community.,"26,808",2025-04-02,day,2025-04-02,day,,http://tixologi.com,https://twitter.com/tixologi,https://www.linkedin.com/company/tixologi,"Correlation Ventures, Social Leverage, KB Partners, StoryHouse Ventures"
Horangi,https://www.crunchbase.com/organization/horangi,,"Blockchain, Cloud Security, Cyber Security, Innovation Management, Network Security, Risk Management, SaaS, Security, Software","Singapore, Central Region, Singapore",Horangi is a SaaS cybersecurity company that offers product innovation and technology designed to protect organizations.,"26,940",2023-06-28,day,2023-06-28,day,,https://horangi.com,https://twitter.com/horangi_inc,https://www.linkedin.com/company/horangi/,"500 Global, Monk’s Hill Ventures, Genesis Alternative Ventures, Prasetia Dwidharma, Right Click Capital"
Gilded,https://www.crunchbase.com/organization/gilded,,"Accounting, Blockchain, Cryptocurrency, FinTech, Web3","New Orleans, Louisiana, United States",Gilded enables web3 organizations to scale with a unified solution that eliminates the complexity of crypto payments and financial reporting,"30,140",2023-09-14,day,2023-09-14,day,,https://gilded.finance,https://www.twitter.com/gildedfinance,https://www.linkedin.com/company/gilded,"Alumni Ventures, Techstars, Bonfire Ventures, Not Boring Capital, Redbeard Ventures"
Pixelmon,https://www.crunchbase.com/organization/pixelmon,,"Gaming, Metaverse, Web3","New York, New York, United States",Pixelmon is a decentralized web3 gaming IP company that develops online video games.,"30,810",2023-02-28,day,2023-02-28,day,,https://www.pixelmon.ai/,https://twitter.com/Pixelmon,https://www.linkedin.com/company/pixelmon,"Amber Group, Foresight Ventures, Animoca Brands, Sfermion, Mechanism Capital"
CoWSwap,https://www.crunchbase.com/organization/cowswap,,"Blockchain, Cryptocurrency, Finance","Lisbon, Lisboa, Portugal",CoWSwap is the first trading interface built on top of the CoW Protocol.,"31,696",2020-02-02,day,2020-02-02,day,,https://swap.cow.fi/#/swap?chain=mainnet,,,"Robot Ventures, Cherry Ventures, Hack VC, Blockchain Capital, LongHash Ventures"
ErisX,https://www.crunchbase.com/organization/erisx,,"Blockchain, Financial Services, FinTech, Information Technology, Insurance, Software","Chicago, Illinois, United States",ErisX specializes in digital asset space that offers both spot and futures contracts on one platform.,"32,683",2021-10-20,day,2021-10-20,day,,https://erisx.com/,https://twitter.com/ErisX_Digital,https://www.linkedin.com/company/erisx/,"Hidden Road, Valor Equity Partners, ConsenSys, Robinhood, Pantera Capital"
